show_id,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
s1,s5234,s4878,s3892,s5895,s7366
s2,s7263,s5345,s1885,s6622,s4286
s3,s5114,s1784,s425,s8489,s5306
s4,s2133,s8465,s4710,s3838,s1392
s5,s8613,s5413,s8614,s6447,s3568
s6,s3075,s1907,s7258,s746,s7455
s7,s5774,s4365,s526,s4591,s5238
s8,s5581,s8354,s8426,s5654,s6421
s9,s4462,s8332,s929,s3378,s1523
s10,s3281,s5670,s7534,s2515,s3123
s11,s7203,s289,s2218,s3905,s4127
s12,s660,s3690,s4030,s4714,s3250
s13,s3588,s8241,s5717,s3256,s5575
s14,s3192,s5329,s5649,s5051,s4105
s15,s7569,s6150,s1292,s7147,s8759
s16,s8755,s998,s6085,s6981,s628
s17,s20,s8537,s7274,s2563,s4361
s18,s1926,s1051,s503,s4027,s3168
s19,s1516,s308,s2706,s2980,s8014
s20,s6967,s6590,s1706,s1698,s5959
s21,s4023,s8002,s3582,s1542,s3331
s22,s262,s7130,s7246,s1391,s1306
s23,s6791,s2068,s6039,s490,s6900
s24,s2580,s1893,s255,s1636,s2167
s25,s3422,s124,s3198,s5538,s3651
s26,s6667,s5680,s478,s2417,s7353
s27,s7321,s7834,s2330,s4691,s1851
s28,s2675,s155,s5688,s4120,s6511
s29,s2514,s507,s8090,s3435,s1604
s30,s2453,s2883,s3466,s1946,s6717
s31,s2943,s4738,s6287,s4098,s8381
s32,s426,s7797,s7528,s7622,s3561
s34,s1012,s8368,s5904,s1441,s332
s35,s105,s8155,s1530,s2158,s8785
s36,s5274,s8687,s2071,s6178,s1124
s37,s3091,s2728,s5028,s4489,s8698
s38,s8191,s6781,s3387,s6260,s338
s39,s424,s5387,s6702,s575,s5858
s40,s416,s420,s418,s413,s2718
s41,s8463,s400,s401,s3523,s1589
s42,s43,s45,s44,s1408,s7062
s43,s45,s42,s44,s4852,s4440
s44,s45,s42,s43,s6799,s8708
s45,s43,s42,s44,s1408,s3512
s46,s7878,s6482,s2940,s8042,s1248
s47,s4598,s1868,s7010,s1617,s1241
s48,s710,s6842,s3856,s3973,s4870
s49,s7336,s7913,s2565,s1083,s4334
s50,s7975,s5243,s1133,s1131,s6929
s51,s5678,s6158,s787,s8335,s1107
s52,s7091,s54,s7089,s5673,s55
s53,s7090,s55,s54,s7089,s52
s54,s7089,s5673,s52,s7091,s55
s55,s53,s7090,s54,s7089,s5673
s56,s3378,s1441,s3379,s3242,s6691
s57,s7560,s60,s3542,s61,s64
s58,s64,s60,s62,s59,s3542
s59,s58,s64,s60,s3542,s57
s60,s3542,s58,s64,s57,s7560
s61,s60,s57,s7560,s58,s62
s62,s58,s61,s3542,s60,s64
s63,s64,s3542,s60,s58,s57
s64,s58,s60,s3542,s63,s57
s65,s3409,s3742,s2997,s6647,s7000
s66,s5839,s7277,s1995,s4857,s3481
s67,s7943,s4726,s1668,s5315,s4522
s68,s1548,s2690,s4442,s8133,s3464
s69,s7011,s7037,s6454,s4173,s97
s70,s7846,s1100,s2489,s3687,s7594
s72,s103,s510,s5760,s5651,s2250
s73,s3158,s2222,s5205,s7208,s7111
s74,s199,s4317,s3164,s4381,s4258
s75,s4362,s4697,s7595,s3706,s1095
s76,s3932,s1305,s1097,s5957,s7393
s77,s944,s832,s1523,s769,s804
s78,s2115,s3391,s7318,s2293,s7320
s79,s80,s7469,s3487,s167,s3103
s80,s79,s7469,s3487,s167,s3103
s81,s4290,s1169,s2011,s3006,s4471
s82,s6004,s917,s6578,s803,s8750
s83,s1253,s621,s138,s6955,s1613
s84,s1755,s2150,s367,s6292,s4279
s85,s7580,s7593,s3651,s4281,s3788
s86,s1236,s5099,s2740,s4224,s2877
s87,s5043,s985,s1134,s5506,s1158
s88,s8613,s8614,s8335,s5566,s4823
s89,s2945,s8225,s4864,s741,s1342
s90,s2738,s8763,s1950,s1589,s7377
s91,s7654,s1354,s3336,s5368,s6857
s92,s1858,s7214,s4440,s5104,s7441
s93,s2382,s98,s7618,s5683,s2851
s94,s6894,s7139,s826,s4891,s116
s95,s6621,s2893,s830,s6587,s3813
s96,s2700,s2828,s1919,s913,s4536
s97,s5907,s7011,s4481,s6454,s1905
s98,s1075,s2412,s629,s438,s93
s99,s1152,s1619,s2132,s1860,s4828
s100,s4213,s1371,s6000,s3851,s6748
s101,s8601,s4408,s7768,s5048,s5804
s102,s3185,s3076,s2628,s2292,s8699
s103,s72,s5651,s2250,s2156,s6822
s104,s2616,s5642,s7959,s976,s113
s105,s35,s8155,s1816,s8785,s869
s106,s1063,s6459,s7549,s8032,s7652
s107,s5547,s3304,s6235,s68,s6411
s108,s247,s2381,s4385,s1355,s5782
s109,s7492,s5710,s7408,s2,s4130
s110,s5643,s4582,s8670,s5847,s4352
s111,s2712,s1459,s2146,s6143,s2135
s112,s1849,s764,s2798,s753,s1474
s113,s3608,s6541,s182,s2891,s2060
s114,s7528,s147,s8800,s2625,s1246
s115,s3358,s7666,s7060,s7114,s7257
s116,s7811,s94,s799,s5514,s7174
s117,s3377,s5245,s2512,s7838,s4107
s118,s7274,s5613,s7201,s7706,s520
s119,s1319,s5295,s1748,s5594,s4028
s120,s974,s6762,s7084,s3271,s262
s121,s937,s1495,s3657,s5620,s1305
s122,s8316,s4565,s6891,s8788,s2349
s123,s403,s2288,s3308,s4680,s8245
s124,s25,s6298,s3422,s2928,s2226
s125,s1379,s2584,s711,s461,s2157
s127,s1562,s6412,s5059,s6411,s5901
s128,s2451,s3189,s525,s1900,s4422
s129,s6100,s2776,s4633,s7167,s7683
s130,s5547,s3983,s818,s6337,s7906
s131,s6239,s5393,s2062,s5270,s6235
s132,s8039,s3738,s6292,s621,s231
s133,s2801,s7218,s2406,s6110,s7865
s134,s6069,s6128,s8026,s4777,s5999
s135,s6673,s7268,s609,s4679,s7715
s136,s4372,s8222,s7776,s8526,s6723
s137,s2229,s2465,s2567,s7538,s5892
s138,s621,s5945,s1232,s2010,s383
s139,s3867,s6894,s5154,s826,s8637
s140,s743,s5443,s6085,s6403,s5515
s141,s2722,s5552,s674,s435,s3749
s142,s6087,s1634,s7064,s2242,s6512
s143,s2305,s3048,s5923,s7471,s6888
s144,s5683,s3599,s1351,s8589,s7864
s145,s147,s146,s4869,s1868,s3803
s146,s147,s145,s8016,s7211,s4392
s147,s146,s145,s7528,s7251,s8800
s148,s2573,s6387,s1622,s1106,s2944
s149,s7005,s633,s8464,s496,s2009
s150,s7570,s3056,s6658,s7739,s5813
s151,s347,s3442,s4361,s3478,s7336
s152,s3792,s3942,s233,s4260,s8642
s153,s4976,s5895,s5656,s5560,s3592
s154,s1953,s1893,s2812,s756,s1441
s155,s3628,s8755,s28,s3277,s3315
s156,s3518,s3075,s4714,s5567,s8688
s157,s403,s7276,s2217,s7061,s2597
s158,s3467,s5993,s2191,s458,s4446
s159,s705,s6495,s386,s460,s4771
s160,s7346,s6657,s5071,s3879,s1072
s161,s8708,s343,s4179,s1466,s4128
s162,s5781,s6347,s3959,s8420,s7353
s163,s1634,s1690,s6074,s6539,s8450
s164,s8219,s1186,s1688,s2647,s2269
s165,s7098,s8524,s5620,s658,s7443
s166,s8175,s5073,s2961,s2179,s7289
s167,s3788,s8232,s7203,s2673,s209
s168,s3770,s2909,s7670,s2911,s2261
s169,s5514,s7540,s4907,s6351,s4412
